time,symbol,tf,side,size,entry,exit,pnl_pct,open_order_id,close_order_id,reason,strat_id
2026-01-29 15:10:07.949024+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11731,0.11684,-0.4006,711770632991277596,711770880887226908,HARD_STOP,
2026-01-29 15:34:09.424847+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11629,,,711776924535357980,,OPEN,0
2026-01-29 15:41:02.409578+00:00,cmt_dogeusdt,5m,LONG,7900.0,0.11629,0.11559,-0.6019,711776924535357980,711778680879186460,HARD_STOP,
2026-01-29 17:40:05.306313+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.11722,,,711808638078943772,,OPEN,1
2026-01-29 17:48:02.575841+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.11722,0.11675,-0.401,711808638078943772,711810641823793692,HARD_STOP,
2026-01-29 17:51:09.395614+00:00,cmt_solusdt,5m,LONG,7.7,118.13,,,711811400896348700,,OPEN,1
2026-01-29 17:58:06.399517+00:00,cmt_solusdt,5m,LONG,7.7,118.13,117.77,-0.3047,711811400896348700,711813175049191964,HARD_STOP,
2026-01-29 23:11:26.953009+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.11653,,,711892027972780572,,OPEN,1
2026-01-30 00:25:02.615506+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.11653,0.11718,0.5578,711892027972780572,711910550421897756,SCORE,
2026-01-30 01:05:21.101381+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.11681,,,711920692316078620,,OPEN,1
2026-01-30 01:38:06.985739+00:00,cmt_dogeusdt,5m,LONG,7800.0,0.11681,0.11618,-0.5393,711920692316078620,711928940318425628,HARD_STOP,
2026-01-30 01:47:04.023267+00:00,cmt_solusdt,5m,LONG,8.0,113.6,,,711931190348612124,,OPEN,1
2026-01-30 02:04:06.805705+00:00,cmt_solusdt,5m,LONG,8.0,113.6,114.75,1.0123,711931190348612124,711935482635747868,TRAIL_1,
2026-01-30 02:20:05.443235+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11413,,,711939501118718492,,OPEN,1
2026-01-30 02:25:02.798881+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11413,0.11373,-0.3505,711939501118718492,711940750559937052,HARD_STOP,
2026-01-30 03:50:05.986992+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.1141,,,711962152415527452,,OPEN,1
2026-01-30 04:42:12.860006+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.1141,0.11488,0.6836,711962152415527452,711975248953606684,SCORE,
2026-01-30 05:25:05.450963+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11459,,,711986057792455196,,OPEN,1
2026-01-30 06:09:07.133732+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11459,0.11419,-0.3491,711986057792455196,711997118318903836,HARD_STOP,
2026-01-30 06:10:05.225008+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11422,,,711997381440176668,,OPEN,1
2026-01-30 06:20:02.295349+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11422,0.11385,-0.3239,711997381440176668,711999887234826780,HARD_STOP,
2026-01-30 06:31:14.404804+00:00,cmt_solusdt,5m,LONG,8.0,113.83,,,712002683187233308,,OPEN,1
2026-01-30 06:44:01.899482+00:00,cmt_solusdt,5m,LONG,8.0,113.83,113.46,-0.325,712002683187233308,712005926340526620,HARD_STOP,
2026-01-30 09:50:17.145690+00:00,cmt_dogeusdt,5m,LONG,8000.0,0.11335,,,712052796010005020,,OPEN,1
